net,length_um
_228_,3.22µm
_250_,3.22µm
net200,3.22µm
acc_core.adder.cla_blocks\[5\].block.sum\[2\],3.2µm
net502,3.2µm
_041_,3.13µm
_173_,3.1µm
_069_,3.08µm
_218_,3.08µm
net104,3.08µm
net146,3.08µm
net181,2.96µm
net400,2.96µm
_012_,2.84µm
_021_,2.84µm
_028_,2.84µm
_030_,2.84µm
_031_,2.84µm
_066_,2.84µm
_079_,2.84µm
net98,2.74µm
net216,2.72µm
_000_,2.67µm
_035_,2.67µm
_260_,2.64µm
_127_,2.62µm
_267_,2.62µm
net83,2.62µm
net153,2.52µm
net230,2.52µm
net307,2.52µm
_044_,2.5µm
_093_,2.5µm
_254_,2.5µm
net32,2.5µm
net84,2.5µm
net198,2.5µm
net231,2.5µm
net251,2.5µm
net261,2.5µm
net464,2.5µm
_238_,2.4µm
net470,2.4µm
_011_,2.38µm
_027_,2.38µm
_029_,2.38µm
_032_,2.38µm
_033_,2.38µm
_039_,2.38µm
_067_,2.38µm
_068_,2.38µm
_169_,2.3µm
net690,2.3µm
_009_,2.23µm
_022_,2.21µm
_047_,2.21µm
acc_core.adder.cla_blocks\[1\].block.sum\[3\],2.18µm
_126_,2.16µm
_258_,2.16µm
net79,2.16µm
net211,2.16µm
net117,2.06µm
net154,2.06µm
net467,2.06µm
net605,2.06µm
net77,2.04µm
_223_,1.84µm
_002_,1.82µm
_061_,1.82µm
_078_,1.82µm
acc_core.adder.cla_blocks\[3\].block.sum\[2\],1.82µm
acc_core.adder.cla_blocks\[4\].block.sum\[2\],1.82µm
net75,1.72µm
net189,1.72µm
_237_,1.7µm
net96,1.7µm
net116,1.7µm
net155,1.7µm
_017_,1.36µm
_026_,1.36µm
_062_,1.36µm
_064_,1.36µm
_070_,1.36µm
net342,1.17µm
net2,1.14µm
net129,1.14µm
net137,1.14µm
net178,1.14µm
net184,1.14µm
net228,1.14µm
net229,1.14µm
net253,1.14µm
net343,1.14µm
net358,1.14µm
net371,1.14µm
net494,1.14µm
_081_,1.085µm
_170_,0.92µm
_246_,0.92µm
net340,0.92µm
net692,0.92µm
